City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed,Country,Date
Xiongyue,40.18,122.12,65.52,57,0,13.96,CN,1600351417
Ploemeur,47.73,-3.43,82.99,54,30,14.99,FR,1600351409
Biak,-0.91,122.88,76.19,76,0,2.26,ID,1600351420
Kilembe,0.2,30.0,77.2,44,38,4.29,UG,1600351421
Nantucket,41.28,-70.1,70.0,83,1,5.82,US,1600351422
Marinette,45.1,-87.63,51.8,81,39,5.82,US,1600351424
Chumikan,54.72,135.31,51.55,80,100,12.39,RU,1600351425
Port Macquarie,-31.43,152.92,55.0,96,100,6.04,AU,1600351426
Mwene-Ditu,-7.0,23.45,86.86,40,98,2.01,CD,1600351428
Flinders,-34.58,150.86,60.01,78,97,1.01,AU,1600351429
Naze,28.37,129.48,82.4,94,20,6.93,JP,1600351430
Murdochville,48.96,-65.5,46.04,60,51,11.63,CA,1600351431
Cairns,-16.92,145.77,75.2,83,90,9.17,AU,1600351433
Abéché,13.83,20.83,95.0,23,0,6.93,TD,1600351434
Karpathos,35.51,27.21,86.0,51,0,9.17,GR,1600351435
Pitimbu,-7.47,-34.81,82.4,69,75,17.22,BR,1600351436
Coquimbo,-29.95,-71.34,50.0,93,75,3.36,CL,1600351438
Aborlan,9.44,118.55,79.11,85,100,8.68,PH,1600351439
Alta Floresta,-9.88,-56.09,87.8,35,75,1.12,BR,1600351234
Volchikha,52.03,80.38,56.07,39,44,7.25,RU,1600351441
Palmer,42.16,-72.33,66.0,87,1,3.36,US,1600351443
Port Blair,11.67,92.75,81.18,83,100,18.75,IN,1600351281
Okha,53.57,142.95,52.34,87,100,18.12,RU,1600351445
Lorengau,-2.02,147.27,81.32,80,96,10.16,PG,1600351446
Keuruu,62.27,24.7,50.0,76,90,21.92,FI,1600351447
Goderich,43.75,-81.72,60.01,73,0,12.3,CA,1600351449
Camacha,33.08,-16.33,73.4,69,40,20.8,PT,1600351450
Byron Bay,-28.65,153.62,63.0,93,11,4.7,AU,1600351451
Igboho,8.83,3.75,84.04,66,17,6.24,NG,1600351452
Loerrach,47.62,7.66,81.0,54,0,13.87,DE,1600351454
Río Gallegos,-51.62,-69.22,42.8,56,40,31.09,AR,1600351455
Sisimiut,66.94,-53.67,38.77,73,94,3.8,GL,1600351456
Brae,60.4,-1.35,55.4,87,75,12.75,GB,1600351457
Dhangadhi,28.71,80.6,82.71,80,51,4.12,NP,1600351459
Kuršumlija,43.15,21.27,87.8,29,0,9.17,RS,1600351460
Dutlwe,-23.98,23.9,91.08,11,53,10.22,BW,1600351461
Puerto Asís,0.51,-76.5,78.8,83,100,3.36,CO,1600351462
Dingle,11.0,122.67,75.33,90,100,5.23,PH,1600351464
Dzaoudzi,-12.79,45.27,82.4,61,1,5.82,YT,1600351465
Ambilobe,-13.2,49.05,82.71,48,42,5.32,MG,1600351466
San Isidro,-12.12,-77.05,60.01,93,90,5.1,PE,1600351467
Poronaysk,49.22,143.12,59.74,96,85,7.11,RU,1600351469
Khorixas,-20.37,14.97,95.67,10,0,12.24,NA,1600351470
Miandrivazo,-19.52,45.47,82.65,44,95,4.16,MG,1600351471
Villa Vicente Guerrero,19.12,-98.17,58.26,89,100,0.72,MX,1600351472
Borba,-4.39,-59.59,97.72,39,0,2.77,BR,1600351474
Puerto del Rosario,28.5,-13.86,82.4,65,100,10.29,ES,1600351477
Lázaro Cárdenas,17.96,-102.2,78.39,84,32,4.68,MX,1600351478
Moratuwa,6.77,79.88,82.4,83,40,9.17,LK,1600351480
Havøysund,71.0,24.66,48.2,61,20,11.41,NO,1600351481
College,64.86,-147.8,46.4,75,75,5.82,US,1600351444
Teahupoo,-17.83,-149.27,75.2,83,20,2.24,PF,1600351483
Dourbali,11.81,15.86,92.19,49,47,8.05,TD,1600351485
Nelson Bay,-32.72,152.15,64.99,88,90,17.22,AU,1600351487
Mulatupo,8.95,-77.77,81.68,72,54,5.44,PA,1600351488
Padang,-0.95,100.35,79.25,76,100,4.56,ID,1600351291
Matara,5.95,80.54,79.21,86,58,11.23,LK,1600351491
Sola,-13.88,167.55,80.33,82,38,22.41,VU,1600351493
Kadoshkino,54.03,44.42,58.23,66,100,11.56,RU,1600351494
Hesperia,34.43,-117.3,66.99,24,62,1.99,US,1600351428
Leh,34.17,77.58,60.01,28,0,4.27,IN,1600351498
Kahului,20.89,-156.47,73.4,64,1,5.82,US,1600351499
Säkylä,61.03,22.33,51.8,66,75,18.34,FI,1600351500
Kidal,18.44,1.41,101.89,20,61,9.82,ML,1600351502
Fomboni,-12.28,43.74,77.99,68,0,6.64,KM,1600351503
Philadelphia,39.95,-75.16,70.0,93,90,4.7,US,1600351276
Norton Shores,43.17,-86.26,57.0,66,90,8.05,US,1600351506
Yangi Marg`ilon,40.43,71.72,75.2,23,38,25.28,UZ,1600351508
Bida,9.08,6.02,85.06,68,94,4.0,NG,1600351509
Bonthe,7.53,-12.51,84.34,68,98,8.86,SL,1600351510
Redlands,34.06,-117.18,69.01,20,1,1.52,US,1600351512
Castlemaine,-37.07,144.22,53.01,56,100,1.99,AU,1600351513
Campbell River,50.02,-125.24,59.0,100,75,3.36,CA,1600351514
Taunggyi,20.78,97.03,66.43,100,100,1.66,MM,1600351516
Krasnyy Chikoy,50.36,108.75,43.48,80,0,0.63,RU,1600351518
São Félix do Xingu,-6.64,-51.99,99.21,25,0,5.53,BR,1600351519
Fredericksburg,38.3,-77.46,69.01,88,90,2.28,US,1600351520
Chernyshevskiy,63.01,112.47,45.55,87,0,2.77,RU,1600351521
Vangaindrano,-23.35,47.6,73.26,72,0,11.32,MG,1600351523
Tessalit,20.2,1.01,102.81,19,0,13.31,ML,1600351524
Mariara,10.3,-67.72,80.17,67,0,1.92,VE,1600351525
Tambo,-14.8,-73.92,43.83,51,6,4.9,PE,1600351527
Āsmār,35.03,71.36,78.19,42,24,1.9,AF,1600351528
Gisborne,-38.65,178.0,55.11,67,96,14.2,NZ,1600351529
Baiquan,47.58,126.08,51.31,93,97,5.17,CN,1600351530
Abonnema,4.71,6.79,87.8,70,75,3.36,NG,1600351532
Itarema,-2.92,-39.92,88.57,46,0,16.06,BR,1600351533
Gushikawa,26.35,127.87,82.4,88,75,8.05,JP,1600351534
Guozhen,34.37,107.36,67.35,38,0,3.4,CN,1600351535
Madīnat Sittah Uktūbar,29.82,31.05,95.0,34,0,16.11,EG,1600351537
Monoharpur,22.11,88.08,83.7,84,100,10.04,IN,1600351538
Brewster,41.4,-73.62,64.99,94,100,6.38,US,1600351539
Shenjiamen,29.96,122.3,74.21,91,100,16.98,CN,1600351540
Sindi,20.8,78.87,82.4,74,40,1.59,IN,1600351542
Shingū,33.73,135.98,74.7,94,100,6.4,JP,1600351543
Champerico,14.3,-91.92,75.2,88,40,3.27,GT,1600351544
Swanzey,42.87,-72.28,61.0,93,20,4.88,US,1600351546
Igarka,67.47,86.58,50.0,90,96,13.2,RU,1600351547
Kirkuk,35.47,44.39,102.97,7,0,8.79,IQ,1600351285
Muhafazat Lahij,13.17,44.58,91.65,48,40,5.53,YE,1600351549
Charters Towers,-20.1,146.27,67.95,84,89,16.58,AU,1600351550
Biloela,-24.42,150.5,59.72,90,0,4.9,AU,1600351552
Kasiri,8.94,-13.11,84.2,74,75,6.93,SL,1600351553
Tamandaré,-8.76,-35.1,80.15,62,16,11.16,BR,1600351554
Porto-Novo,6.5,2.6,82.4,78,40,9.17,BJ,1600351555
Imeni Zhelyabova,58.95,36.6,52.75,95,100,8.19,RU,1600351557
Paamiut,61.99,-49.67,39.06,77,95,7.02,GL,1600351558
Marale,14.88,-87.15,74.01,85,16,2.35,HN,1600351559
Atherton,53.52,-2.49,72.0,41,0,4.0,GB,1600351562
Mersing,2.43,103.84,80.6,88,83,6.93,MY,1600351563
Kushima,31.46,131.23,77.0,94,100,5.01,JP,1600351564
Kamaishi,39.27,141.88,71.11,87,98,7.76,JP,1600351565
Waipawa,-41.41,175.52,57.2,87,98,21.92,NZ,1600351567
Vágur,61.47,-6.81,53.37,96,100,27.65,FO,1600351566
Catió,11.28,-15.25,88.41,64,81,0.85,GW,1600351569
Östersund,63.18,14.64,46.4,70,100,8.05,SE,1600351570
St. George's,12.06,-61.75,86.0,74,20,0.81,GD,1600351518
Nesterov,54.63,22.57,55.62,63,30,19.98,RU,1600351574
Aksu,41.12,80.26,73.54,24,0,2.21,CN,1600351575
Nuuk,64.18,-51.72,39.2,75,20,6.93,GL,1600351314
Oddur,4.12,43.89,92.01,27,8,17.22,SO,1600351578
Ca Mau,9.18,105.15,78.19,88,100,10.63,VN,1600351579
Ipirá,-12.16,-39.74,82.56,31,50,8.03,BR,1600351580
Zinder,13.81,8.99,87.8,58,20,6.93,NE,1600351582
Erzin,36.96,36.2,86.0,73,0,10.0,TR,1600351583
Mongo,12.18,18.69,91.94,49,56,6.69,TD,1600351584
Barra de Tecoanapa,16.52,-98.75,78.3,82,100,3.76,MX,1600351585
Ormara,25.21,64.64,83.12,79,18,12.33,PK,1600351587
Karasjok,69.47,25.51,50.0,61,100,17.22,NO,1600351588
Guaranda,-1.6,-79.0,51.8,87,40,3.74,EC,1600351589
Visp,46.29,7.88,64.99,31,3,1.01,CH,1600351590
Hualmay,-11.1,-77.61,63.21,73,77,5.17,PE,1600351592
Strezhevoy,60.73,77.59,53.6,62,18,4.47,RU,1600351593
Peñón Blanco,24.79,-104.04,64.33,72,4,4.18,MX,1600351594
San Alfonso,7.78,126.42,76.59,80,100,2.68,PH,1600351596
Natal,-5.79,-35.21,84.2,62,75,19.46,BR,1600351596
